,totals,.md-counts,.yaml-counts,.py-counts,.rst-counts,.txt-counts,.sh-counts,.patch-counts,.ninja-counts,.diff-counts,.md-percent,.yaml-percent,.py-percent,.rst-percent,.txt-percent,.sh-percent,.patch-percent,.ninja-percent,.diff-percent
configuration,606,4,6,442,143,0,1,10,0,0,0.006600660066006601,0.009900990099009901,0.7293729372937293,0.23597359735973597,0.0,0.0016501650165016502,0.0165016501650165,0.0,0.0
  ,177057,410,247,151444,5043,528,761,18264,28,332,0.002315638466708461,0.0013950309787243657,0.8553403706151127,0.02848235314051407,0.0029820905132245546,0.004298050910158876,0.10315322184381301,0.00015814116358009003,0.0018751023681639247
lib,2850,0,4,1979,72,162,4,586,0,43,0.0,0.0014035087719298245,0.6943859649122807,0.02526315789473684,0.056842105263157895,0.0014035087719298245,0.2056140350877193,0.0,0.015087719298245613
spack,17534,165,132,14092,2073,3,331,728,10,0,0.009410288582183186,0.0075282308657465494,0.8036956769704574,0.11822744382342877,0.0001710961560396943,0.018877609216379605,0.04151933386563249,0.0005703205201323143,0.0
docs,243,2,1,205,23,0,0,12,0,0,0.00823045267489712,0.00411522633744856,0.8436213991769548,0.09465020576131687,0.0,0.0,0.04938271604938271,0.0,0.0
conf,282,1,0,165,2,0,0,114,0,0,0.0035460992907801418,0.0,0.5851063829787234,0.0070921985815602835,0.0,0.0,0.40425531914893614,0.0,0.0
py,4497,2,3,4011,334,0,3,136,0,8,0.00044474093840338,0.00066711140760507,0.8919279519679787,0.07427173671336447,0.0,0.00066711140760507,0.03024238381142984,0.0,0.00177896375361352
requirements,51,0,1,37,7,0,0,6,0,0,0.0,0.0196078431372549,0.7254901960784313,0.13725490196078433,0.0,0.0,0.11764705882352941,0.0,0.0
txt,485,0,2,215,16,0,3,249,0,0,0.0,0.004123711340206186,0.44329896907216493,0.032989690721649485,0.0,0.006185567010309278,0.51340206185567,0.0,0.0
round,69,0,0,59,1,0,0,8,0,1,0.0,0.0,0.855072463768116,0.014492753623188406,0.0,0.0,0.11594202898550725,0.0,0.014492753623188406
default,4991,5,20,4450,164,6,4,342,0,0,0.0010018032458425166,0.004007212983370066,0.8916048887998397,0.03285914646363454,0.0012021638950110197,0.0008014425966740132,0.06852334201562812,0.0,0.0
yes,361,0,0,240,22,0,2,97,0,0,0.0,0.0,0.6648199445983379,0.060941828254847646,0.0,0.00554016620498615,0.26869806094182824,0.0,0.0
test,5065,2,8,4199,124,29,20,653,2,28,0.0003948667324777887,0.0015794669299111549,0.8290227048371175,0.024481737413622903,0.005725567620927937,0.003948667324777887,0.12892398815399803,0.0003948667324777887,0.005528134254689042
external,402,1,4,308,57,1,0,31,0,0,0.0024875621890547263,0.009950248756218905,0.7661691542288557,0.1417910447761194,0.0024875621890547263,0.0,0.07711442786069651,0.0,0.0
share,327,2,4,255,39,2,13,12,0,0,0.0061162079510703364,0.012232415902140673,0.7798165137614679,0.11926605504587157,0.0061162079510703364,0.039755351681957186,0.03669724770642202,0.0,0.0
completion,42,1,0,36,2,0,2,1,0,0,0.023809523809523808,0.0,0.8571428571428571,0.047619047619047616,0.0,0.047619047619047616,0.023809523809523808,0.0,0.0
bash,282,1,0,199,14,0,30,38,0,0,0.0035460992907801418,0.0,0.7056737588652482,0.04964539007092199,0.0,0.10638297872340426,0.1347517730496454,0.0,0.0
comment,635,0,0,625,5,0,0,5,0,0,0.0,0.0,0.984251968503937,0.007874015748031496,0.0,0.0,0.007874015748031496,0.0,0.0
off,1197,0,0,1124,18,1,2,52,0,0,0.0,0.0,0.9390142021720969,0.015037593984962405,0.000835421888053467,0.001670843776106934,0.04344193817878028,0.0,0.0
copyright,8336,2,2,8155,77,3,34,63,0,0,0.0002399232245681382,0.0002399232245681382,0.9782869481765835,0.00923704414587332,0.0003598848368522073,0.004078694817658349,0.007557581573896353,0.0,0.0
